class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
beracun,cembung,bersisik,putih,memar,menyengat,bebas,rapat,sempit,hitam,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,perkotaan
bisa dimakan,cembung,bersisik,kuning,memar,anis,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,padang rumput
bisa dimakan,cembung,bersisik,coklat,memar,anis,bebas,rapat,lebar,merah muda,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,coklat,soliter,jalan setapak
bisa dimakan,lonceng,bersisik,kuning,memar,anis,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,padang rumput
bisa dimakan,cembung,berserat,kuning,memar,anis,bebas,padat,sempit,putih,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cekung,berserat,abu-abu,tidak,tidak ada,bebas,rapat,sempit,hitam,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,beberapa,perkotaan
beracun,cembung,bersisik,coklat,memar,menyengat,bebas,rapat,sempit,putih,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,perkotaan
bisa dimakan,cembung,berserat,kuning,memar,almond,bebas,padat,sempit,merah muda,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,lonceng,halus,kuning,memar,anis,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,padang rumput
bisa dimakan,lonceng,bersisik,kuning,memar,almond,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,rumput
bisa dimakan,cembung,bersisik,kuning,memar,anis,bebas,rapat,lebar,coklat,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,jalan setapak
bisa dimakan,cembung,berserat,coklat,tidak,tidak ada,bebas,rapat,sempit,abu-abu,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,perkotaan
beracun,cembung,bersisik,putih,memar,menyengat,bebas,rapat,sempit,merah muda,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,rumput
bisa dimakan,cembung,halus,kuning,memar,almond,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,padang rumput
bisa dimakan,cembung,bersisik,putih,memar,almond,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,rumput
bisa dimakan,cembung,bersisik,kuning,memar,anis,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,padang rumput
bisa dimakan,cembung,halus,putih,memar,anis,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,padang rumput
bisa dimakan,cembung,bersisik,kuning,memar,anis,bebas,rapat,lebar,coklat,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,jalan setapak
bisa dimakan,datar,bersisik,kuning,memar,anis,bebas,rapat,lebar,putih,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,jalan setapak
bisa dimakan,cembung,bersisik,coklat,memar,almond,bebas,rapat,lebar,putih,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,rumput
bisa dimakan,cembung,halus,putih,memar,anis,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,rumput
bisa dimakan,lonceng,halus,putih,memar,anis,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,padang rumput
beracun,cembung,bersisik,coklat,memar,menyengat,bebas,rapat,sempit,hitam,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,perkotaan
beracun,cembung,halus,putih,memar,menyengat,bebas,rapat,sempit,hitam,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,beberapa,perkotaan
bisa dimakan,lonceng,bersisik,kuning,memar,almond,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,padang rumput
bisa dimakan,datar,berserat,abu-abu,tidak,tidak ada,bebas,padat,lebar,coklat,meruncing,rata,halus,halus,putih,putih,parsial,putih,satu,menghilang,coklat,melimpah,rumput
bisa dimakan,lonceng,halus,putih,memar,almond,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,rumput
bisa dimakan,cembung,halus,kuning,memar,anis,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,rumput
bisa dimakan,cembung,bersisik,coklat,memar,almond,bebas,rapat,lebar,merah muda,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,jalan setapak
bisa dimakan,cekung,berserat,abu-abu,tidak,tidak ada,bebas,rapat,sempit,hitam,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,perkotaan
bisa dimakan,lonceng,bersisik,kuning,memar,almond,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,padang rumput
bisa dimakan,lonceng,halus,kuning,memar,anis,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,padang rumput
bisa dimakan,lonceng,bersisik,kuning,memar,anis,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,padang rumput
bisa dimakan,lonceng,bersisik,putih,memar,anis,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,rumput
bisa dimakan,datar,halus,coklat,tidak,tidak ada,bebas,padat,lebar,hitam,meruncing,rata,halus,halus,putih,putih,parsial,putih,satu,menghilang,hitam,melimpah,rumput
bisa dimakan,cembung,halus,putih,memar,anis,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,rumput
bisa dimakan,datar,bersisik,kuning,memar,almond,bebas,rapat,lebar,putih,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,rumput
bisa dimakan,cembung,bersisik,kuning,memar,almond,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,rumput
bisa dimakan,cembung,berserat,abu-abu,tidak,tidak ada,bebas,rapat,sempit,merah muda,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,perkotaan
bisa dimakan,datar,berserat,kuning,memar,anis,bebas,padat,sempit,merah muda,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,lonceng,bersisik,putih,memar,anis,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,padang rumput
bisa dimakan,datar,berserat,kuning,memar,anis,bebas,padat,sempit,putih,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,bersisik,coklat,memar,almond,bebas,rapat,lebar,merah muda,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,jalan setapak
bisa dimakan,lonceng,halus,kuning,memar,almond,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,rumput
bisa dimakan,datar,halus,kuning,memar,anis,bebas,padat,sempit,merah muda,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,halus,putih,memar,anis,bebas,padat,sempit,coklat,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,ungu,beberapa,hutan
bisa dimakan,datar,bersisik,coklat,memar,anis,bebas,rapat,lebar,merah muda,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,coklat,soliter,jalan setapak
beracun,cembung,bersisik,coklat,memar,menyengat,bebas,rapat,sempit,putih,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,perkotaan
bisa dimakan,datar,bersisik,coklat,memar,almond,bebas,rapat,lebar,coklat,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,coklat,soliter,rumput
bisa dimakan,cembung,halus,coklat,tidak,tidak ada,bebas,padat,lebar,hitam,meruncing,rata,berserat,halus,putih,putih,parsial,putih,satu,menghilang,coklat,tersebar,rumput
beracun,cembung,bersisik,putih,memar,menyengat,bebas,rapat,sempit,putih,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,rumput
bisa dimakan,datar,berserat,abu-abu,tidak,tidak ada,bebas,rapat,sempit,coklat,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,soliter,perkotaan
bisa dimakan,cembung,berserat,abu-abu,tidak,tidak ada,bebas,padat,lebar,coklat,meruncing,rata,halus,halus,putih,putih,parsial,putih,satu,menghilang,coklat,tersebar,rumput
bisa dimakan,cembung,bersisik,kuning,memar,anis,bebas,rapat,lebar,putih,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,rumput
bisa dimakan,cembung,halus,coklat,tidak,tidak ada,bebas,padat,lebar,hitam,meruncing,rata,halus,halus,putih,putih,parsial,putih,satu,menghilang,hitam,tersebar,rumput
bisa dimakan,lonceng,halus,putih,memar,almond,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,rumput
bisa dimakan,cembung,halus,putih,memar,anis,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,rumput
bisa dimakan,datar,bersisik,coklat,memar,anis,bebas,rapat,lebar,putih,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,rumput
bisa dimakan,cekung,berserat,coklat,tidak,tidak ada,bebas,rapat,sempit,coklat,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,perkotaan
bisa dimakan,cembung,berserat,coklat,tidak,tidak ada,bebas,rapat,sempit,coklat,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,soliter,perkotaan
bisa dimakan,lonceng,halus,putih,memar,anis,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,rumput
bisa dimakan,cembung,bersisik,kuning,memar,almond,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,rumput
bisa dimakan,cembung,bersisik,kuning,memar,anis,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,padang rumput
bisa dimakan,cembung,halus,coklat,tidak,tidak ada,bebas,padat,lebar,coklat,meruncing,rata,halus,halus,putih,putih,parsial,putih,satu,menghilang,coklat,melimpah,rumput
bisa dimakan,cembung,halus,putih,memar,almond,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,rumput
bisa dimakan,datar,bersisik,coklat,memar,anis,bebas,rapat,lebar,merah muda,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,rumput
bisa dimakan,cembung,halus,kuning,memar,almond,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,rumput
bisa dimakan,lonceng,halus,putih,memar,almond,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,rumput
bisa dimakan,cembung,bersisik,putih,memar,almond,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,rumput
bisa dimakan,cembung,berserat,coklat,tidak,tidak ada,bebas,padat,lebar,merah muda,meruncing,rata,berserat,halus,putih,putih,parsial,putih,satu,menghilang,hitam,tersebar,rumput
bisa dimakan,lonceng,halus,kuning,memar,anis,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,rumput
bisa dimakan,datar,bersisik,kuning,memar,anis,bebas,rapat,lebar,putih,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,rumput
bisa dimakan,cembung,bersisik,kuning,memar,almond,bebas,rapat,lebar,coklat,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,jalan setapak
bisa dimakan,lonceng,bersisik,putih,memar,anis,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,rumput
bisa dimakan,cembung,bersisik,kuning,memar,almond,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,padang rumput
bisa dimakan,cembung,bersisik,kuning,memar,almond,bebas,rapat,lebar,putih,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,coklat,soliter,rumput
bisa dimakan,lonceng,bersisik,putih,memar,anis,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,padang rumput
bisa dimakan,lonceng,bersisik,putih,memar,almond,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,padang rumput
bisa dimakan,cembung,halus,kuning,memar,almond,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,padang rumput
bisa dimakan,cembung,halus,kuning,memar,anis,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,rumput
bisa dimakan,cekung,berserat,abu-abu,tidak,tidak ada,bebas,rapat,sempit,abu-abu,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,perkotaan
bisa dimakan,cembung,berserat,putih,memar,almond,bebas,padat,sempit,putih,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,ungu,beberapa,hutan
bisa dimakan,cembung,halus,kuning,memar,almond,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,padang rumput
beracun,cembung,bersisik,putih,memar,menyengat,bebas,rapat,sempit,coklat,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,perkotaan
bisa dimakan,cembung,bersisik,kuning,memar,anis,bebas,rapat,lebar,merah muda,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,rumput
bisa dimakan,cekung,berserat,abu-abu,tidak,tidak ada,bebas,rapat,sempit,merah muda,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,soliter,perkotaan
bisa dimakan,cembung,bersisik,kuning,memar,anis,bebas,rapat,lebar,putih,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,rumput
bisa dimakan,cembung,halus,kuning,memar,anis,bebas,padat,sempit,merah muda,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,ungu,beberapa,hutan
bisa dimakan,cekung,berserat,coklat,tidak,tidak ada,bebas,rapat,sempit,hitam,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,soliter,perkotaan
beracun,cembung,halus,putih,memar,menyengat,bebas,rapat,sempit,hitam,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,beberapa,rumput
bisa dimakan,cembung,bersisik,putih,memar,almond,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,padang rumput
beracun,datar,bersisik,coklat,memar,menyengat,bebas,rapat,sempit,merah muda,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,beberapa,rumput
bisa dimakan,datar,halus,abu-abu,tidak,tidak ada,bebas,padat,lebar,hitam,meruncing,rata,halus,halus,putih,putih,parsial,putih,satu,menghilang,coklat,melimpah,rumput
bisa dimakan,cembung,halus,kuning,memar,anis,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,padang rumput
bisa dimakan,cembung,halus,putih,tidak,tidak ada,bebas,padat,lebar,coklat,meruncing,rata,halus,berserat,putih,putih,parsial,putih,satu,menghilang,hitam,tersebar,rumput
bisa dimakan,lonceng,halus,kuning,memar,almond,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,rumput
bisa dimakan,datar,berserat,abu-abu,tidak,tidak ada,bebas,padat,lebar,coklat tua,meruncing,rata,halus,halus,putih,putih,parsial,putih,satu,menghilang,coklat,melimpah,rumput
bisa dimakan,cembung,halus,putih,memar,anis,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,rumput
bisa dimakan,lonceng,halus,putih,memar,anis,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,padang rumput
bisa dimakan,lonceng,halus,putih,memar,anis,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,rumput
bisa dimakan,lonceng,bersisik,putih,memar,anis,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,padang rumput
bisa dimakan,datar,halus,putih,memar,anis,bebas,padat,sempit,putih,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,ungu,beberapa,hutan
bisa dimakan,cembung,bersisik,kuning,memar,anis,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,tersebar,padang rumput
bisa dimakan,datar,halus,putih,memar,almond,bebas,padat,sempit,merah muda,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
beracun,cembung,bersisik,putih,memar,menyengat,bebas,rapat,sempit,putih,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,perkotaan
bisa dimakan,datar,berserat,putih,memar,anis,bebas,padat,sempit,putih,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
bisa dimakan,cembung,bersisik,kuning,memar,almond,bebas,rapat,lebar,coklat,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,tersebar,rumput
beracun,cembung,halus,coklat,memar,menyengat,bebas,rapat,sempit,merah muda,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,rumput
bisa dimakan,lonceng,halus,kuning,memar,anis,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,rumput
bisa dimakan,cembung,bersisik,coklat,memar,almond,bebas,rapat,lebar,putih,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,jalan setapak
bisa dimakan,lonceng,bersisik,kuning,memar,anis,bebas,rapat,lebar,abu-abu,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,padang rumput
bisa dimakan,cekung,berserat,coklat,tidak,tidak ada,bebas,rapat,sempit,hitam,membesar,rata,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,beberapa,perkotaan
bisa dimakan,datar,bersisik,coklat,memar,almond,bebas,rapat,lebar,putih,membesar,berakar,halus,bersisik,putih,putih,parsial,putih,satu,menjuntai,hitam,soliter,jalan setapak
bisa dimakan,cembung,bersisik,kuning,memar,almond,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,rumput
bisa dimakan,cembung,berserat,abu-abu,tidak,tidak ada,bebas,padat,lebar,hitam,meruncing,rata,berserat,berserat,putih,putih,parsial,putih,satu,menghilang,hitam,tersebar,rumput
bisa dimakan,datar,berserat,putih,tidak,tidak ada,bebas,padat,lebar,hitam,meruncing,rata,halus,berserat,putih,putih,parsial,putih,satu,menghilang,coklat,melimpah,rumput
bisa dimakan,cembung,bersisik,kuning,memar,anis,bebas,rapat,lebar,putih,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat,banyak,padang rumput
bisa dimakan,lonceng,halus,kuning,memar,anis,bebas,rapat,lebar,hitam,membesar,klub,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,banyak,rumput
